time,discipline,value
137,Role13_L34,203
137,Role13_L56,90
137,Role13_L78,45
137,Role14_L12,141
137,Role14_L34,253
137,Role14_L56,113
137,Role14_L78,56
137,Role15_L12,169
137,Role15_L34,304
137,Role15_L56,135
137,Role15_L78,68
138,Role13_L12,113
138,Role13_L34,203
138,Role13_L56,90
138,Role13_L78,45
138,Role14_L12,141
138,Role14_L34,253
138,Role14_L56,113
138,Role14_L78,56
138,Role15_L12,169
138,Role15_L34,304
138,Role15_L56,135
138,Role15_L78,68
139,Role13_L12,113
139,Role13_L34,203
139,Role13_L56,90
139,Role13_L78,45
139,Role14_L12,141
139,Role14_L34,253
139,Role14_L56,113
139,Role14_L78,56
139,Role15_L12,169
139,Role15_L34,304
139,Role15_L56,135
139,Role15_L78,68
140,Role13_L12,113
140,Role13_L34,203
140,Role13_L56,90
140,Role13_L78,45
140,Role14_L12,141
140,Role14_L34,253
140,Role14_L56,113
140,Role14_L78,56
140,Role15_L12,169
140,Role15_L34,304
140,Role15_L56,135
140,Role15_L78,68
141,Role13_L12,113
141,Role13_L34,203
141,Role13_L56,90
141,Role13_L78,45
141,Role14_L12,141
141,Role14_L34,253
141,Role14_L56,113
141,Role14_L78,56
141,Role15_L12,169
141,Role15_L34,304
141,Role15_L56,135
141,Role15_L78,68
142,Role13_L12,113
142,Role13_L34,203
142,Role13_L56,90
142,Role13_L78,45
142,Role14_L12,141
142,Role14_L34,253
142,Role14_L56,113
142,Role14_L78,56
142,Role15_L12,169
142,Role15_L34,304
142,Role15_L56,135
142,Role15_L78,68
143,Role13_L12,113
143,Role13_L34,203
143,Role13_L56,90
143,Role13_L78,45
143,Role14_L12,141
143,Role14_L34,253
143,Role14_L56,113
143,Role14_L78,56
143,Role15_L12,169
143,Role15_L34,304
143,Role15_L56,135
143,Role15_L78,68
144,Role13_L12,113
144,Role13_L34,203
144,Role13_L56,90
144,Role13_L78,45
144,Role14_L12,141
144,Role14_L34,253
144,Role14_L56,113
144,Role14_L78,56
144,Role15_L12,169
144,Role15_L34,304
144,Role15_L56,135
144,Role15_L78,68
145,Role13_L12,113
145,Role13_L34,203
145,Role13_L56,90
145,Role13_L78,45
145,Role14_L12,141
145,Role14_L34,253
145,Role14_L56,113
145,Role14_L78,56
145,Role15_L12,169
145,Role15_L34,304
145,Role15_L56,135
145,Role15_L78,68
146,Role13_L12,113
146,Role13_L34,203
146,Role13_L56,90
146,Role13_L78,45
146,Role14_L12,141
146,Role14_L34,253
146,Role14_L56,113
146,Role14_L78,56
146,Role15_L12,169
146,Role15_L34,304
146,Role15_L56,135
146,Role15_L78,68
147,Role13_L12,113
147,Role13_L34,203
147,Role13_L56,90
147,Role13_L78,45
147,Role14_L12,141
147,Role14_L34,253
147,Role14_L56,113
147,Role14_L78,56
147,Role15_L12,169
147,Role15_L34,304
147,Role15_L56,135
147,Role15_L78,68
148,Role13_L12,113
148,Role13_L34,203
148,Role13_L56,90
148,Role13_L78,45
148,Role14_L12,141
148,Role14_L34,253
148,Role14_L56,113
148,Role14_L78,56
148,Role15_L12,169
148,Role15_L34,304
148,Role15_L56,135
148,Role15_L78,68
149,Role13_L12,113
149,Role13_L34,203
149,Role13_L56,90
149,Role13_L78,45
149,Role14_L12,141
149,Role14_L34,253
149,Role14_L56,113
149,Role14_L78,56
149,Role15_L12,169
149,Role15_L34,304
149,Role15_L56,135
149,Role15_L78,68
150,Role13_L12,113
150,Role13_L34,203
150,Role13_L56,90
150,Role13_L78,45
150,Role14_L12,141
150,Role14_L34,253
150,Role14_L56,113
150,Role14_L78,56
150,Role15_L12,169
150,Role15_L34,304
150,Role15_L56,135
150,Role15_L78,68
151,Role13_L12,113
151,Role13_L34,203
151,Role13_L56,90
151,Role13_L78,45
151,Role14_L12,141
151,Role14_L34,253
151,Role14_L56,113
151,Role14_L78,56
151,Role15_L12,169
151,Role15_L34,304
151,Role15_L56,135
151,Role15_L78,68
152,Role13_L12,113
152,Role13_L34,203
152,Role13_L56,90
152,Role13_L78,45
152,Role14_L12,141
152,Role14_L34,253
152,Role14_L56,113
152,Role14_L78,56
152,Role15_L12,169
152,Role15_L34,304
152,Role15_L56,135
152,Role15_L78,68
153,Role13_L12,113
153,Role13_L34,203
153,Role13_L56,90
153,Role13_L78,45
153,Role14_L12,141
153,Role14_L34,253
